site_id,published_item_id
ct_cap,ctcap_p2_1
ct_cap,ctcap_p2_2
ct_chest,ctch_em_1
ct_chest,ctch_em_2
ct_chest,ctch_p2_1
ct_colonography,ctcol_p2_1
ct_colonography,ctcol_p2_2
ct_colonography,ctcol_p2_3
ct_colonography,ctcol_p2_4
ct_colonography,ctcol_p3_1
ct_colonography,ctcol_p3_2
ct_colonography,ctcol_p3_3
ct_colonography,ctcol_p3_4
ct_colonography,ctcol_p3_5
ct_colonography,ctcol_p3_6
ct_colonography,ctcol_p3_7
ct_head,cth_a48_1
ct_head,cth_a48_2
ct_head,cth_p2_1
ct_head,cth_p2_3
ct_ivu,ctivu_p2_2
ct_kub,ctkub_em_1
ct_kub,ctkub_a24_1
ct_other,ctoth_a48_1
ct_other,ctoth_p2_1
ct_other,ctoth_p2_2
ct_other,ctoth_p3_1
ct_other,ctoth_p3_2
ct_sinus,ctsin_em_1
us_abdomen,usab_p2_1
us_abdomen,usab_p3_3
us_abdomen,usab_p3_4
us_carotid,usca_em_1
us_carotid,usca_48_1
us_dvt,usdvt_s1_3
us_fna_biopsy,usfna_p2_1
us_fna_biopsy,usfna_p3_1
us_pelvis,uspv_24_1
us_pelvis,uspv_24_2
us_pelvis,uspv_48_1
us_pelvis,uspv_p2_5
us_pelvis,uspv_p3_5
us_pelvis,uspv_p3_6
us_pelvis,uspv_p3_10
us_pelvis,uspv_s2_1
us_pelvis,uspv_s2_2
us_pelvis,uspv_s2_3
us_pelvis,uspv_s2_4
us_pelvis,uspv_s3_1
us_pelvis,uspv_s3_2
us_pelvis,uspv_s3_3
us_pelvis,uspv_s3_4
us_renal,usrn_em_1
us_renal,usrn_48_1
us_renal,usrn_p3_4
us_renal,usrn_p3_5
us_renal,usrn_p4_2
us_renal,usrn_s2_1
us_scrotum,ussc_p4_2
xr_abdomen,xrab_p3_1
xr_abdomen,xrab_p3_2
xr_abdomen,xrab_p3_3
xr_abdomen,xrab_s2_2
xr_chest,xrch_em_1
xr_chest,xrch_em_2
xr_chest,xrch_em_3
xr_chest,xrch_em_4
xr_chest,xrch_48_1
xr_chest,xrch_48_3
xr_chest,xrch_48_6
xr_chest,xrch_48_9
xr_chest,xrch_48_10
xr_chest,xrch_p2_2
xr_chest,xrch_p2_3
