site_id,old_item_id,published_item_id,match_confidence
ct_head,cth_a1,,UNMAPPED(best 0.33)
ct_head,cth_a2,,UNMAPPED(best 0.50)
ct_head,cth_a3,cth_a48_3,fuzzy:0.99
ct_head,cth_a4,cth_a48_4,fuzzy:0.86
ct_head,cth_p2_1,,UNMAPPED(best 0.27)
ct_head,cth_p2_2,cth_p2_2,REVIEW:0.77
ct_head,cth_p2_3,,UNMAPPED(best 0.52)
ct_head,cth_p2_4,cth_p2_4,REVIEW:0.84
ct_head,cth_p4_1,cth_p4_1,fuzzy:0.95
ct_head,cth_p4_2,cth_p4_2,REVIEW:0.85
ct_cap,ctcap_1,,UNMAPPED(best 0.29)
ct_cap,ctcap_2,,UNMAPPED(best 0.25)
ct_cap,ctcap_3,ctcap_p2_3,fuzzy:0.85
ct_chest,ctc_p2_1,,UNMAPPED(best 0.38)
ct_chest,ctc_p2_2,ctch_p2_2,REVIEW:0.79
ct_chest,ctc_p2_3,ctch_p2_3,fuzzy:0.89
ct_chest,ctc_p2_4,ctch_p2_4,REVIEW:0.83
ct_chest,ctc_p2_5,ctch_p2_5,REVIEW:0.61
ct_chest,ctc_p2_6,ctch_p2_6,REVIEW:0.83
ct_chest,ctc_p3_1,ctch_p3_1,fuzzy:0.94
ct_chest,ctc_p3_2,ctch_p3_2,REVIEW:0.83
ct_colonography,ctc_col_p2_1,,UNMAPPED(best 0.44)
ct_colonography,ctc_col_p2_2,,UNMAPPED(best 0.32)
ct_colonography,ctc_col_p2_3,,UNMAPPED(best 0.45)
ct_colonography,ctc_col_p2_4,,UNMAPPED(best 0.17)
ct_colonography,ctc_col_p3_1,,UNMAPPED(best 0.33)
ct_colonography,ctc_col_p3_2,,UNMAPPED(best 0.33)
ct_colonography,ctc_col_p3_3,,UNMAPPED(best 0.38)
ct_colonography,ctc_col_p3_4,,UNMAPPED(best 0.27)
ct_colonography,ctc_col_p3_5,,UNMAPPED(best 0.35)
ct_colonography,ctc_col_p3_6,,UNMAPPED(best 0.37)
ct_colonography,ctc_col_p3_7,,UNMAPPED(best 0.19)
ct_ivu,ctivu_p2_1,ctivu_p2_1,REVIEW:0.84
ct_ivu,ctivu_p2_2,,UNMAPPED(best 0.51)
ct_ivu,ctivu_p2_3,ctivu_p2_3,REVIEW:0.84
ct_ivu,ctivu_p3_1,ctivu_p3_1,exact
ct_ivu,ctivu_p3_2,ctivu_p3_2,REVIEW:0.62
ct_ivu,ctivu_p3_3,ctivu_p3_3,fuzzy:0.85
ct_kub,kub_acute_1,,UNMAPPED(best 0.30)
ct_kub,kub_acute_2,,UNMAPPED(best 0.16)
ct_kub,kub_acute_3,,UNMAPPED(best 0.24)
ct_kub,kub_acute_4,,UNMAPPED(best 0.27)
ct_kub,kub_acute_5,,UNMAPPED(best 0.30)
ct_kub,kub_48_1,ctkub_a48_1,fuzzy:0.99
ct_kub,kub_48_2,ctkub_a48_2,REVIEW:0.81
ct_kub,kub_s2_1,ctkub_s2_1,fuzzy:0.86
ct_kub,kub_s2_2,ctkub_s2_2,REVIEW:0.80
ct_sinus,sin_p3_1,ctsin_p3_1,fuzzy:0.99
ct_sinus,sin_p3_2,ctsin_p3_2,REVIEW:0.82
us_abdomen,usa_emerg_1,usab_em_1,fuzzy:0.90
us_abdomen,usa_emerg_2,usab_em_2,exact
us_abdomen,usa_emerg_3,usab_em_3,exact
us_abdomen,usa_emerg_4,usab_em_4,exact
us_abdomen,usa_48_1,usab_em_5,exact
us_abdomen,usa_48_2,usab_48_1,REVIEW:0.83
us_abdomen,usa_48_3,usab_48_2,fuzzy:0.85
us_abdomen,usa_p2_1,,UNMAPPED(best 0.41)
us_abdomen,usa_p2_2,usab_p2_2,fuzzy:0.98
us_abdomen,usa_p2_3,usab_p2_3,REVIEW:0.84
us_abdomen,usa_p3_1,usab_p3_1,fuzzy:0.98
us_abdomen,usa_p3_2,usab_p3_2,fuzzy:0.95
us_abdomen,usa_p3_3,,UNMAPPED(best 0.55)
us_abdomen,usa_p3_4,,UNMAPPED(best 0.59)
us_abdomen,usa_p3_5,usab_p3_5,fuzzy:0.93
us_abdomen,usa_p3_6,usab_p3_6,exact
us_abdomen,usa_p3_7,usab_p3_7,exact
us_abdomen,usa_p3_8,usab_p3_8,REVIEW:0.84
us_abdomen,usa_s3_1,usab_s3_1,REVIEW:0.76
us_abdomen,usa_s3_2,usab_s3_2,REVIEW:0.83
us_abdomen,usa_s3_3,usab_s3_3,REVIEW:0.68
us_carotid,usc_emerg_1,,UNMAPPED(best 0.34)
us_carotid,usc_48_1,,UNMAPPED(best 0.29)
us_dvt,usd_24_1,usdvt_24_1,exact
us_dvt,usd_24_2,usdvt_24_2,exact
us_dvt,usd_24_3,usdvt_24_3,fuzzy:0.97
us_dvt,usd_48_1,usdvt_48_1,REVIEW:0.63
us_dvt,usd_48_2,usdvt_48_1,REVIEW:0.73
us_dvt,usd_s1_1,usdvt_s1_1,fuzzy:0.87
us_dvt,usd_s1_2,usdvt_s1_2,fuzzy:0.99
us_dvt,usd_s2_1,usdvt_s2_1,exact
us_msk,usmsk_1,usmsk_p3_1,exact
us_neck_thyroid,usnt_p2_1,usnt_p2_1,fuzzy:0.95
us_neck_thyroid,usnt_p2_2,usnt_p2_2,exact
us_neck_thyroid,usnt_p2_3,usnt_p2_3,REVIEW:0.80
us_neck_thyroid,usnt_p2_4,usnt_p2_4,fuzzy:0.86
us_neck_thyroid,usnt_p3_1,usnt_p3_1,exact
us_neck_thyroid,usnt_p3_2,usnt_p3_2,fuzzy:0.86
us_neck_thyroid,usnt_p4_1,usnt_p4_1,REVIEW:0.72
us_neck_thyroid,usnt_p4_2,usnt_p4_2,fuzzy:0.94
us_neck_thyroid,usnt_s2_1,usnt_s2_1,fuzzy:0.88
us_neck_thyroid,usnt_s2_2,usnt_s2_2,fuzzy:0.93
us_pelvis,usp_emerg_1,uspv_em_1,exact
us_pelvis,usp_24_1,,UNMAPPED(best 0.37)
us_pelvis,usp_24_2,,UNMAPPED(best 0.43)
us_pelvis,usp_24_3,,UNMAPPED(best 0.55)
us_pelvis,usp_48_1,,UNMAPPED(best 0.37)
us_pelvis,usp_48_2,uspv_48_2,fuzzy:0.87
us_pelvis,usp_p2_1,uspv_p2_1,exact
us_pelvis,usp_p2_2,uspv_p2_2,fuzzy:0.93
us_pelvis,usp_p2_3,uspv_p2_3,fuzzy:0.87
us_pelvis,usp_p2_4,uspv_p2_4,REVIEW:0.68
us_pelvis,usp_p2_5,,UNMAPPED(best 0.38)
us_pelvis,usp_p2_6,uspv_p2_6,fuzzy:0.97
us_pelvis,usp_p2_7,uspv_p2_7,REVIEW:0.85
us_pelvis,usp_p3_1,uspv_p3_1,fuzzy:0.92
us_pelvis,usp_p3_2,uspv_p3_2,fuzzy:0.99
us_pelvis,usp_p3_3,uspv_p3_3,fuzzy:0.90
us_pelvis,usp_p3_4,uspv_p3_4,REVIEW:0.60
us_pelvis,usp_p3_5,,UNMAPPED(best 0.39)
us_pelvis,usp_p3_6,uspv_p3_7,REVIEW:0.84
us_pelvis,usp_p3_7,uspv_p3_8,REVIEW:0.75
us_pelvis,usp_p3_8,uspv_p3_9,fuzzy:0.98
us_pelvis,usp_p3_9,uspv_p3_11,REVIEW:0.70
us_pelvis,usp_p3_10,uspv_p3_12,fuzzy:0.86
us_pelvis,usp_p4_1,uspv_p4_1,REVIEW:0.84
us_pelvis,usp_p4_2,uspv_p4_2,fuzzy:0.92
us_pelvis,usp_p4_3,uspv_p4_3,fuzzy:0.88
us_renal,usr_24_1,,UNMAPPED(best 0.46)
us_renal,usr_24_2,,UNMAPPED(best 0.57)
us_renal,usr_48_1,,UNMAPPED(best 0.30)
us_renal,usr_48_2,usrn_48_2,fuzzy:0.98
us_renal,usr_48_3,usrn_48_3,fuzzy:0.86
us_renal,usr_p2_1,usrn_p2_1,exact
us_renal,usr_p2_2,usrn_p2_2,REVIEW:0.64
us_renal,usr_p2_3,usrn_p2_3,fuzzy:0.86
us_renal,usr_p3_1,usrn_p3_1,exact
us_renal,usr_p3_2,usrn_p3_2,REVIEW:0.62
us_renal,usr_p3_3,usrn_p3_3,exact
us_renal,usr_p3_4,,UNMAPPED(best 0.37)
us_renal,usr_p3_5,,UNMAPPED(best 0.45)
us_renal,usr_p3_6,usrn_p3_6,exact
us_renal,usr_p3_7,usrn_p3_7,exact
us_renal,usr_p3_8,usrn_p3_8,fuzzy:0.87
us_renal,usr_p4_1,usrn_p4_1,REVIEW:0.77
